age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
59,Private,HS-grad,13,Never-married,Adm-clerical,Husband,White,Male,227,0,35,United-States
31,Local-gov,HS-grad,13,Married-civ-spouse,Other-service,Husband,White,Male,1240,0,38,United-States
19,Self-emp-not-inc,Some-college,9,Divorced,?,Husband,White,Male,0,0,38,United-States
48,Private,HS-grad,5,Never-married,Other-service,Husband,White,Female,419,0,40,United-States
23,Private,Some-college,15,Never-married,Adm-clerical,Own-child,White,Male,288,0,50,United-States
49,Private,7th-8th,9,Divorced,Craft-repair,Husband,White,Male,392,26,70,United-States
20,State-gov,HS-grad,7,Never-married,?,Husband,White,Female,0,108,38,United-States
19,Private,HS-grad,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,657,19,46,United-States
20,Private,HS-grad,3,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,47,Peru
37,Private,HS-grad,9,Never-married,Other-service,Husband,White,Male,0,36,40,Germany
26,Private,HS-grad,9,Divorced,Exec-managerial,Own-child,White,Female,0,0,56,United-States
40,Self-emp-not-inc,Masters,13,Never-married,Sales,Not-in-family,White,Female,0,16,10,United-States
32,Self-emp-not-inc,HS-grad,11,Never-married,Farming-fishing,Own-child,Black,Female,321,22,14,United-States
28,Self-emp-not-inc,HS-grad,10,Never-married,Prof-specialty,Husband,White,Male,224,11,11,United-States
34,?,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Male,231,0,54,United-States
33,Private,Some-college,10,Never-married,Adm-clerical,Husband,White,Male,1137,3,39,United-States
62,Private,HS-grad,10,Separated,Exec-managerial,Not-in-family,Black,Male,14845,0,42,United-States
36,Local-gov,10th,10,Married-civ-spouse,Farming-fishing,Husband,Black,Male,908,0,37,United-States
20,Local-gov,Assoc-acdm,13,Never-married,Prof-specialty,Husband,White,Male,0,0,40,?
18,Private,Some-college,9,Never-married,Handlers-cleaners,Wife,White,Male,0,0,38,United-States
55,Private,HS-grad,10,Married-civ-spouse,Handlers-cleaners,Wife,White,Male,0,101,38,United-States
58,Private,10th,9,Widowed,Machine-op-inspct,Husband,White,Female,0,0,38,United-States
37,Private,Some-college,13,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Male,39,0,52,United-States
48,Private,Some-college,10,Never-married,?,Unmarried,White,Male,100,1095,40,United-States
63,Private,5th-6th,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,514,35,41,United-States
53,Self-emp-inc,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,415,0,60,United-States
31,Self-emp-not-inc,Bachelors,13,Never-married,Exec-managerial,Husband,Other,Female,0,10,49,United-States
33,Private,Bachelors,9,Married-civ-spouse,Other-service,Husband,Black,Female,1029,0,33,United-States
48,Local-gov,Some-college,9,Divorced,Handlers-cleaners,Own-child,Black,Male,0,0,36,United-States
25,Self-emp-not-inc,HS-grad,4,Never-married,Sales,Husband,White,Female,0,18,49,United-States
20,Self-emp-inc,HS-grad,10,Divorced,Exec-managerial,Husband,White,Female,422,0,38,United-States
54,Private,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,732,47,44,United-States
43,Private,HS-grad,13,Never-married,Sales,Husband,White,Male,0,0,34,United-States
56,?,Some-college,4,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,36,United-States
29,Private,Some-college,6,Married-civ-spouse,Sales,Unmarried,Black,Male,784,5,41,United-States
24,Private,HS-grad,10,Divorced,Other-service,Own-child,White,Male,0,0,40,United-States
38,Federal-gov,12th,9,Married-civ-spouse,Other-service,Husband,Black,Female,0,0,40,United-States
76,Private,HS-grad,12,Never-married,Prof-specialty,Unmarried,White,Female,462,29,30,United-States
55,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,787,1571,35,United-States
48,Private,10th,12,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,United-States
33,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,0,1562,51,United-States
38,?,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,4,39,United-States
27,Self-emp-not-inc,Some-college,9,Never-married,Adm-clerical,Wife,Black,Female,111,0,30,United-States
23,Private,Assoc-voc,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,Mexico
44,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,36,39,United-States
58,Private,Some-college,8,Never-married,Transport-moving,Unmarried,White,Male,386,0,57,United-States
41,Private,Bachelors,3,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States
40,Private,10th,9,Never-married,Machine-op-inspct,Unmarried,White,Male,1294,0,59,United-States
62,Private,HS-grad,13,Never-married,Craft-repair,Husband,White,Male,506,50,17,United-States
27,Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,2133,2,46,United-States
24,Private,Bachelors,10,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,619,37,41,Jamaica
39,Private,1st-4th,9,Never-married,Craft-repair,Not-in-family,Black,Female,1469,1639,39,United-States
28,Private,9th,10,Divorced,Exec-managerial,Husband,White,Male,0,82,6,United-States
65,Private,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,8034,39,38,United-States
41,Private,Some-college,7,Separated,Other-service,Husband,White,Male,710,2051,71,United-States
36,State-gov,Some-college,10,Divorced,Handlers-cleaners,Husband,White,Female,0,9,70,United-States
30,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,39,United-States
38,Self-emp-inc,11th,13,Married-civ-spouse,Other-service,Not-in-family,White,Female,478,0,81,United-States
52,Private,Masters,9,Never-married,Prof-specialty,Not-in-family,White,Male,688,10,42,United-States
49,Private,Some-college,13,Married-civ-spouse,Sales,Not-in-family,White,Male,1258,9,42,United-States
19,Private,HS-grad,8,Never-married,Prof-specialty,Husband,White,Female,0,0,41,United-States
20,?,Masters,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,41,Mexico
49,Local-gov,11th,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0,12,34,United-States
35,Private,HS-grad,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,39,Greece
43,Private,5th-6th,3,Never-married,?,Husband,White,Male,463,0,51,United-States
33,Private,Bachelors,10,Married-civ-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Female,0,62,40,Cuba
