age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
18,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,20,United-States
17,Private,12th,8,Never-married,Sales,Own-child,White,Female,0,0,20,United-States
25,Local-gov,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,United-States
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States
47,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,56,Puerto-Rico
33,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
21,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico
43,Private,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,4650,0,40,United-States
55,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,2407,0,35,United-States
46,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States
34,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,United-States
40,?,Bachelors,13,Widowed,?,Not-in-family,White,Female,0,0,8,United-States
50,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
29,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,38,United-States
62,Private,9th,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
56,Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States
40,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1887,40,United-States
74,?,9th,5,Married-civ-spouse,?,Husband,White,Male,3471,0,40,United-States
21,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,54,United-States
31,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States
36,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States
36,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States
64,State-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
32,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
55,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
33,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,20,United-States
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1887,60,United-States
45,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,United-States
47,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
27,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States
19,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States
52,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Male,15020,0,50,United-States
26,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States
50,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
40,Private,Assoc-acdm,12,Divorced,Transport-moving,Unmarried,White,Female,0,0,40,United-States
45,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States
25,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States
37,Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States
49,Self-emp-not-inc,Assoc-voc,11,Divorced,Transport-moving,Not-in-family,White,Male,0,0,48,United-States
40,Private,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,45,United-States
50,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
22,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States
38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
24,Private,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Black,Male,0,0,20,United-States
21,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
27,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,48,United-States
90,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
52,Private,10th,6,Widowed,Sales,Unmarried,Black,Female,0,0,40,United-States
60,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States
28,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States
65,Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,28,United-States
19,Private,HS-grad,9,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,30,United-States
48,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States
54,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
27,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States
66,Private,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States
35,Federal-gov,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States
25,Self-emp-not-inc,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,United-States
27,Local-gov,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Black,Female,0,0,37,United-States
60,Private,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States
37,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
42,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States
42,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,1590,40,United-States
39,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
31,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
34,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,England
60,?,Bachelors,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,2163,25,South
44,Private,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States
65,Private,Masters,14,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,40,United-States
56,?,Assoc-acdm,12,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States
22,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
30,Self-emp-not-inc,Assoc-voc,11,Separated,Sales,Not-in-family,White,Male,0,0,40,Mexico
46,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States
22,Private,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,25,United-States
20,Private,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,24,Philippines
36,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,48,United-States
21,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,Germany
52,Self-emp-not-inc,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
56,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,21,China
49,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States
55,Local-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
20,Private,Some-college,10,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States
17,?,10th,6,Never-married,?,Own-child,White,Male,0,0,30,United-States
33,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,France
29,Private,12th,8,Never-married,Other-service,Unmarried,Black,Female,0,0,35,?
66,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,4,United-States
45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,England
63,State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1740,40,United-States
49,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States
37,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,England
31,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
34,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,United-States
51,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
39,?,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,35,United-States
33,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,55,United-States
38,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States
71,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,15,Germany
53,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
