row_id,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
18118,41,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
46466,41,State-gov,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Male,0,0,40,United-States
35622,43,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,?
29130,41,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
7451,47,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States
7433,46,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1887,45,United-States
2659,49,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States
42334,46,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
29262,42,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States
34374,40,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
975,44,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Male,0,0,70,United-States
47392,49,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States
40644,40,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,35,United-States
10244,42,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
8675,41,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States
8749,46,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
14628,43,Private,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,United-States
25367,44,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0,0,40,Nicaragua
20864,42,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States
13965,49,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Female,0,0,40,Puerto-Rico
29770,42,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
6646,43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States
13998,48,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,99999,0,50,United-States
17711,48,?,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,18,United-States
22157,44,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,52,United-States
38353,43,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,7298,0,40,United-States
9567,49,Private,11th,7,Never-married,Other-service,Not-in-family,White,Male,0,0,60,United-States
24868,48,Private,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Male,0,0,44,United-States
28833,45,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Poland
2084,42,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States
29568,45,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
8117,41,Self-emp-not-inc,Bachelors,13,Separated,Craft-repair,Not-in-family,White,Male,0,0,35,United-States
2959,40,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
46364,47,Private,7th-8th,4,Separated,Other-service,Not-in-family,White,Female,0,0,38,United-States
47191,44,Private,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Male,0,0,20,United-States
39474,49,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States
14652,43,Local-gov,HS-grad,9,Divorced,Tech-support,Not-in-family,Black,Female,0,0,40,United-States
4600,46,Self-emp-inc,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,40,?
33263,40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
21262,45,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,40,United-States
5770,48,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States
23920,46,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
1528,48,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
44518,41,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
12451,41,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,7688,0,50,United-States
32172,40,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,35,United-States
15038,46,Self-emp-not-inc,Bachelors,13,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,60,South
25148,43,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
26405,50,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States
8840,43,Private,9th,5,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States
47379,49,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
37827,45,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,45,United-States
45855,44,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
43735,47,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
29081,45,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States
45095,41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
4107,40,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States
9436,45,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States
1996,44,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States
15745,47,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
18850,41,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
13058,43,Private,9th,5,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,20,United-States
40483,45,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
17236,49,Private,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
13490,42,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States
26204,50,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States
6738,42,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,?
39192,48,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
3374,40,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States
48173,48,Local-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
37709,48,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States
