row_id,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
18976,62,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,80,United-States
46119,65,Private,Some-college,10,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,20,United-States
36468,66,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3818,0,40,United-States
30058,71,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,0,0,35,United-States
8335,61,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States
2907,81,Private,9th,5,Widowed,Priv-house-serv,Not-in-family,Black,Female,2062,0,5,United-States
42435,62,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?
30183,74,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1825,12,United-States
35430,61,State-gov,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
1169,88,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
47325,73,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,30,United-States
41075,67,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4931,0,30,United-States
11100,79,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States
9634,62,Private,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,30,United-States
9677,70,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,12,United-States
15473,71,Local-gov,HS-grad,9,Widowed,Exec-managerial,Other-relative,White,Female,0,0,33,United-States
26514,63,?,Bachelors,13,Married-civ-spouse,?,Wife,Black,Female,0,0,45,United-States
21658,69,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,9386,0,72,United-States
14728,61,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,0,0,40,United-States
30748,64,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
7203,63,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,32,China
14837,73,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,6,United-States
18542,63,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,7688,0,54,United-States
23143,65,Private,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
38978,61,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States
10438,63,?,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,15,United-States
25977,63,?,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,0,0,12,United-States
29725,81,?,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,0,0,24,United-States
2403,70,Private,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States
30488,61,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
8974,90,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,9386,0,15,United-States
3271,73,Private,10th,6,Widowed,Other-service,Not-in-family,White,Female,0,0,10,United-States
46016,76,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,9386,0,25,United-States
47130,81,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2174,35,United-States
40109,80,Private,HS-grad,9,Widowed,Other-service,Not-in-family,Black,Male,0,0,15,United-States
15478,61,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
4842,68,Federal-gov,Some-college,10,Divorced,Adm-clerical,Other-relative,Black,Female,2346,0,40,United-States
34314,62,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
22014,69,Private,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,20,United-States
6299,70,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,23,United-States
24926,62,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
1876,63,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States
44387,64,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,Black,Female,0,0,40,United-States
13256,65,Private,9th,5,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States
