row_id,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
18221,43,State-gov,HS-grad,9,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,0,0,40,United-States
46437,47,Private,5th-6th,3,Divorced,Sales,Other-relative,White,Female,0,0,32,Mexico
35679,41,Private,5th-6th,3,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Mexico
29185,29,Local-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,Other,Male,0,0,40,Ecuador
7584,28,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,Mexico
7583,32,Self-emp-not-inc,HS-grad,9,Separated,Sales,Not-in-family,White,Male,0,0,50,United-States
2836,17,Private,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-States
42274,34,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
29305,24,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States
34516,24,Self-emp-not-inc,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,25,United-States
992,41,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
47368,44,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,43,United-States
40599,40,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
10308,45,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico
8819,32,State-gov,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,19,United-States
8893,23,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,70,United-States
14793,31,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,8,United-States
25592,52,Private,9th,5,Separated,Other-service,Not-in-family,Black,Female,0,0,30,United-States
21052,34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
14155,47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States
29819,24,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States
6795,20,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,Peru
14204,21,?,Some-college,10,Never-married,?,Own-child,White,Female,0,0,3,United-States
17824,44,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,60,Taiwan
22219,46,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,1590,43,United-States
38293,44,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?
9686,20,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,25,United-States
25075,38,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
28891,30,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,3103,0,55,United-States
2263,46,Private,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
29610,43,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,United-States
8272,45,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States
3175,41,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
46348,53,Private,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States
47156,45,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
39425,25,Private,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States
14812,50,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
4763,31,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,52,United-States
33340,33,Private,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
21458,53,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3137,0,40,United-States
5946,20,Private,9th,5,Never-married,Sales,Own-child,White,Female,0,0,40,United-States
24132,46,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States
