age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
69,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,24,United-States
88,Self-emp-not-inc,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,6418,0,40,United-States
76,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States
68,Self-emp-not-inc,10th,6,Widowed,Farming-fishing,Unmarried,White,Male,0,0,20,United-States
76,Self-emp-not-inc,Some-college,10,Widowed,Sales,Not-in-family,White,Male,0,0,8,United-States
72,?,HS-grad,9,Widowed,?,Not-in-family,White,Male,0,0,30,United-States
87,Private,HS-grad,9,Married-spouse-absent,Sales,Not-in-family,White,Male,0,0,16,United-States
52,Private,Some-college,10,Divorced,Sales,Other-relative,White,Female,0,0,20,United-States
24,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States
19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States
61,Private,12th,8,Divorced,Protective-serv,Not-in-family,White,Male,0,0,37,Cuba
85,Private,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,5,United-States
72,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,3,United-States
50,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
25,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States
84,Private,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,13,United-States
51,Local-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United-States
71,Local-gov,Masters,14,Widowed,Exec-managerial,Not-in-family,White,Male,2050,0,20,United-States
79,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
62,Private,Assoc-acdm,12,Widowed,Other-service,Not-in-family,White,Female,0,0,7,United-States
56,Private,10th,6,Separated,Other-service,Unmarried,White,Female,0,0,32,United-States
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
47,Private,HS-grad,9,Separated,Prof-specialty,Other-relative,Other,Female,0,0,40,Puerto-Rico
44,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States
55,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
29,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
76,Local-gov,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,13,United-States
81,?,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,0,0,24,United-States
27,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
65,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,5556,0,48,United-States
69,?,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,9,United-States
66,?,HS-grad,9,Married-civ-spouse,?,Husband,Black,Male,0,0,18,United-States
81,Private,5th-6th,3,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,6,United-States
47,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
44,?,Some-college,10,Never-married,?,Other-relative,White,Male,0,0,45,United-States
39,Self-emp-not-inc,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
83,?,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States
53,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
32,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
35,Private,11th,7,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States
57,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
32,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1848,60,?
23,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
33,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,1741,40,United-States
28,Self-emp-inc,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States
53,Local-gov,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
50,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1579,65,Canada
73,State-gov,7th-8th,4,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States
27,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,45,Mexico
47,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States
45,Local-gov,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Male,5013,0,40,United-States
58,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
55,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States
82,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
66,State-gov,10th,6,Divorced,Other-service,Not-in-family,Black,Female,0,0,40,United-States
28,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
68,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,United-States
64,Self-emp-not-inc,9th,5,Separated,Transport-moving,Not-in-family,White,Male,0,0,45,United-States
55,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
49,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Female,0,0,40,Puerto-Rico
19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States
65,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,24,United-States
36,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,17,United-States
62,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
54,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
63,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States
69,Private,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,20,United-States
18,?,11th,7,Never-married,?,Own-child,White,Male,0,0,35,United-States
77,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States
69,Private,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,2964,0,6,Germany
65,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,United-States
47,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,70,United-States
22,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
63,Self-emp-not-inc,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,0,0,20,United-States
40,?,Assoc-voc,11,Separated,?,Own-child,White,Female,0,0,40,?
51,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
33,Private,11th,7,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,38,United-States
30,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
87,?,HS-grad,9,Widowed,?,Not-in-family,White,Male,0,0,2,United-States
78,Self-emp-inc,HS-grad,9,Widowed,Sales,Not-in-family,White,Male,0,0,45,United-States
59,Private,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
68,Self-emp-inc,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,15,United-States
41,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,70,United-States
40,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,5,United-States
32,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States
83,Self-emp-not-inc,11th,7,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,20,United-States
25,Private,1st-4th,2,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,24,Mexico
27,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States
17,Private,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,18,United-States
22,?,10th,6,Never-married,?,Other-relative,White,Male,0,0,40,United-States
42,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
66,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,38,United-States
41,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
37,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
82,?,Assoc-voc,11,Widowed,?,Not-in-family,White,Female,0,0,8,United-States
47,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,50,United-States
35,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
27,Private,10th,6,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States
58,?,1st-4th,2,Married-spouse-absent,?,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States
32,Private,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
27,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
56,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States
65,Private,HS-grad,9,Divorced,Exec-managerial,Other-relative,White,Female,1848,0,50,United-States
29,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States
37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,44,United-States
59,?,Assoc-acdm,12,Divorced,?,Not-in-family,White,Male,0,0,8,United-States
19,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,1721,40,United-States
60,Private,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,0,0,40,United-States
77,Private,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
72,Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States
82,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,United-States
74,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,14,United-States
78,Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,24,United-States
64,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States
33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States
42,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
72,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,28,United-States
35,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
57,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States
19,Private,10th,6,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States
50,Private,11th,7,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,40,United-States
66,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,24,United-States
64,Private,10th,6,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
88,Self-emp-not-inc,7th-8th,4,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,5,United-States
62,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
52,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
47,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
76,Private,7th-8th,4,Widowed,Other-service,Not-in-family,White,Female,0,0,25,United-States
90,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,10566,0,50,United-States
32,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
87,?,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,3,United-States
42,Local-gov,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,65,United-States
56,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,40,United-States
32,Private,Masters,14,Separated,Prof-specialty,Not-in-family,White,Female,0,0,35,Iran
25,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States
75,Private,10th,6,Widowed,Tech-support,Not-in-family,White,Female,0,0,32,United-States
21,State-gov,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States
84,?,5th-6th,3,Widowed,?,Not-in-family,White,Male,0,0,15,United-States
