timestamp,sql
2025-07-01T00:00:00.200000,SELECT census_original.relationship FROM census_original  WHERE census_original.sex != 'NULL' AND census_original.capital_gain > 26.48 ORDER BY census_original.relationship LIMIT 100;
2025-07-01T00:00:00.400000,"SELECT census_original.age, census_original.workclass, census_original.capital_gain, census_original.education FROM census_original  WHERE census_original.race = 'NULL' ORDER BY census_original.workclass LIMIT 100;"
2025-07-01T00:00:00.600000,"SELECT census_original.age, census_original.workclass, census_original.capital_gain, census_original.education FROM census_original  WHERE census_original.race = 'NULL' ORDER BY census_original.workclass LIMIT 100;"
2025-07-01T00:00:00.800000,"SELECT census_original.age, census_original.workclass, census_original.capital_gain, census_original.education FROM census_original  WHERE census_original.race = 'NULL' ORDER BY census_original.workclass LIMIT 100;"
2025-07-01T00:00:01.000000,"SELECT census_original.age, census_original.workclass, census_original.capital_gain, census_original.education FROM census_original  WHERE census_original.race = 'NULL' ORDER BY census_original.workclass LIMIT 100;"
2025-07-01T00:00:01.200000,SELECT census_original.sex FROM census_original  WHERE census_original.hours_per_week > 94.81 AND census_original.race != 'NULL' AND census_original.education_num < 37.27 ORDER BY census_original.sex LIMIT 100;
2025-07-01T00:00:01.400000,SELECT census_original.relationship FROM census_original  WHERE census_original.sex != 'NULL' AND census_original.capital_gain > 52.7 ORDER BY census_original.relationship LIMIT 100;
2025-07-01T00:00:01.600000,"SELECT census_original.education, census_original.workclass, census_original.capital_loss FROM census_original  WHERE census_original.age BETWEEN 45.475 AND 57.885 ORDER BY census_original.capital_loss LIMIT 100;"
2025-07-01T00:00:01.800000,SELECT census_original.sex FROM census_original  WHERE census_original.hours_per_week > 42.51 AND census_original.race != 'NULL' AND census_original.education_num < 65.06 ORDER BY census_original.sex LIMIT 100;
2025-07-01T00:00:02.000000,SELECT census_original.sex FROM census_original  WHERE census_original.hours_per_week > 65.62 AND census_original.race != 'NULL' AND census_original.education_num < 99.21 ORDER BY census_original.sex LIMIT 100;
2025-07-01T00:00:02.200000,"SELECT census_original.education, census_original.workclass, census_original.capital_loss FROM census_original  WHERE census_original.age BETWEEN 57.635 AND 70.045 ORDER BY census_original.capital_loss LIMIT 100;"
2025-07-01T00:00:02.400000,SELECT census_original.sex FROM census_original  WHERE census_original.hours_per_week > 82.49 AND census_original.race != 'NULL' AND census_original.education_num < 17.63 ORDER BY census_original.sex LIMIT 100;
2025-07-01T00:00:02.600000,SELECT census_original.workclass FROM census_original  WHERE census_original.education = 'sample' AND census_original.native_country LIKE 'sample' AND census_original.race != 'NULL' AND census_original.education_num < 57.01 ORDER BY census_original.workclass LIMIT 100;
2025-07-01T00:00:02.800000,SELECT census_original.workclass FROM census_original  WHERE census_original.education = 'sample' AND census_original.native_country LIKE 'sample' AND census_original.race != 'NULL' AND census_original.education_num < 57.67 ORDER BY census_original.workclass LIMIT 100;
2025-07-01T00:00:03.000000,"SELECT census_original.age, census_original.workclass, census_original.capital_gain, census_original.education FROM census_original  WHERE census_original.race = 'NULL' ORDER BY census_original.workclass LIMIT 100;"
2025-07-01T00:00:03.200000,"SELECT census_original.age, census_original.workclass, census_original.capital_gain, census_original.education FROM census_original  WHERE census_original.race = 'NULL' ORDER BY census_original.workclass LIMIT 100;"
2025-07-01T00:00:03.400000,SELECT census_original.workclass FROM census_original  WHERE census_original.education = 'sample' AND census_original.native_country LIKE 'sample' AND census_original.race != 'NULL' AND census_original.education_num < 88.04 ORDER BY census_original.workclass LIMIT 100;
2025-07-01T00:00:03.600000,SELECT census_original.sex FROM census_original  WHERE census_original.hours_per_week > 13.56 AND census_original.race != 'NULL' AND census_original.education_num < 89.83 ORDER BY census_original.sex LIMIT 100;
2025-07-01T00:00:03.800000,SELECT census_original.workclass FROM census_original  WHERE census_original.education = 'sample' AND census_original.native_country LIKE 'sample' AND census_original.race != 'NULL' AND census_original.education_num < 42.42 ORDER BY census_original.workclass LIMIT 100;
2025-07-01T00:00:04.000000,SELECT census_original.workclass FROM census_original  WHERE census_original.education = 'sample' AND census_original.native_country LIKE 'sample' AND census_original.race != 'NULL' AND census_original.education_num < 69.79 ORDER BY census_original.workclass LIMIT 100;
2025-07-01T00:00:04.200000,SELECT census_original.relationship FROM census_original  WHERE census_original.sex != 'NULL' AND census_original.capital_gain > 39.76 ORDER BY census_original.relationship LIMIT 100;
2025-07-01T00:00:04.400000,"SELECT census_original.age, census_original.workclass, census_original.capital_gain, census_original.education FROM census_original  WHERE census_original.race = 'NULL' ORDER BY census_original.workclass LIMIT 100;"
2025-07-01T00:00:04.600000,"SELECT census_original.education, census_original.workclass, census_original.capital_loss FROM census_original  WHERE census_original.age BETWEEN 13.555 AND 25.965 ORDER BY census_original.capital_loss LIMIT 100;"
2025-07-01T00:00:04.800000,SELECT census_original.relationship FROM census_original  WHERE census_original.sex != 'NULL' AND census_original.capital_gain > 12.72 ORDER BY census_original.relationship LIMIT 100;
2025-07-01T00:00:05.000000,"SELECT census_original.age, census_original.workclass, census_original.capital_gain, census_original.education FROM census_original  WHERE census_original.race = 'NULL' ORDER BY census_original.workclass LIMIT 100;"
2025-07-01T00:00:05.200000,SELECT census_original.workclass FROM census_original  WHERE census_original.education = 'sample' AND census_original.native_country LIKE 'sample' AND census_original.race != 'NULL' AND census_original.education_num < 94.66 ORDER BY census_original.workclass LIMIT 100;
