timestamp,sql
2025-07-01T00:10:00.200000,SELECT public.store_sales.ss_list_price FROM public.store_sales  WHERE public.store_sales.ss_ext_list_price > 19.41 ORDER BY public.store_sales.ss_list_price LIMIT 100;
2025-07-01T00:10:00.400000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 30.24 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:00.600000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 72.06 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:00.800000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 43.94 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:01.000000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 63.74 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:01.200000,SELECT public.store_sales.ss_item_sk FROM public.store_sales  WHERE public.store_sales.ss_customer_sk > 35.87 AND public.store_sales.ss_wholesale_cost BETWEEN 66.48 AND 76.38 ORDER BY public.store_sales.ss_item_sk LIMIT 100;
2025-07-01T00:10:01.400000,SELECT public.store_sales.ss_list_price FROM public.store_sales  WHERE public.store_sales.ss_ext_list_price > 13.53 ORDER BY public.store_sales.ss_list_price LIMIT 100;
2025-07-01T00:10:01.600000,SELECT public.catalog_sales.cs_order_number FROM public.catalog_sales INNER JOIN public.store_sales ON public.catalog_sales.cs_promo_sk = public.store_sales.ss_promo_sk WHERE public.catalog_sales.cs_warehouse_sk <= 59.5 ORDER BY public.catalog_sales.cs_order_number LIMIT 100;
2025-07-01T00:10:01.800000,SELECT public.store_sales.ss_item_sk FROM public.store_sales  WHERE public.store_sales.ss_customer_sk > 71.46 AND public.store_sales.ss_wholesale_cost BETWEEN 6.23 AND 16.13 ORDER BY public.store_sales.ss_item_sk LIMIT 100;
2025-07-01T00:10:02.000000,SELECT public.store_sales.ss_item_sk FROM public.store_sales  WHERE public.store_sales.ss_customer_sk > 53.51 AND public.store_sales.ss_wholesale_cost BETWEEN 54.81 AND 64.71 ORDER BY public.store_sales.ss_item_sk LIMIT 100;
2025-07-01T00:10:02.200000,SELECT public.catalog_sales.cs_order_number FROM public.catalog_sales INNER JOIN public.store_sales ON public.catalog_sales.cs_promo_sk = public.store_sales.ss_promo_sk WHERE public.catalog_sales.cs_warehouse_sk <= 80.61 ORDER BY public.catalog_sales.cs_order_number LIMIT 100;
2025-07-01T00:10:02.400000,SELECT public.store_sales.ss_item_sk FROM public.store_sales  WHERE public.store_sales.ss_customer_sk > 50.9 AND public.store_sales.ss_wholesale_cost BETWEEN 5.03 AND 14.93 ORDER BY public.store_sales.ss_item_sk LIMIT 100;
2025-07-01T00:10:02.600000,SELECT public.store_sales.ss_ext_discount_amt FROM public.store_sales  WHERE public.store_sales.ss_promo_sk < 54.36 AND public.store_sales.ss_sold_date_sk > 82.1 AND public.store_sales.ss_hdemo_sk > 10.18 ORDER BY public.store_sales.ss_ext_discount_amt LIMIT 100;
2025-07-01T00:10:02.800000,SELECT public.store_sales.ss_ext_discount_amt FROM public.store_sales  WHERE public.store_sales.ss_promo_sk < 25.18 AND public.store_sales.ss_sold_date_sk > 91.35 AND public.store_sales.ss_hdemo_sk > 92.46 ORDER BY public.store_sales.ss_ext_discount_amt LIMIT 100;
2025-07-01T00:10:03.000000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 8.13 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:03.200000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 27.81 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:03.400000,SELECT public.store_sales.ss_ext_discount_amt FROM public.store_sales  WHERE public.store_sales.ss_promo_sk < 95.35 AND public.store_sales.ss_sold_date_sk > 8.11 AND public.store_sales.ss_hdemo_sk > 14.64 ORDER BY public.store_sales.ss_ext_discount_amt LIMIT 100;
2025-07-01T00:10:03.600000,SELECT public.store_sales.ss_item_sk FROM public.store_sales  WHERE public.store_sales.ss_customer_sk > 30.83 AND public.store_sales.ss_wholesale_cost BETWEEN 72.3 AND 82.2 ORDER BY public.store_sales.ss_item_sk LIMIT 100;
2025-07-01T00:10:03.800000,SELECT public.store_sales.ss_ext_discount_amt FROM public.store_sales  WHERE public.store_sales.ss_promo_sk < 7.68 AND public.store_sales.ss_sold_date_sk > 6.23 AND public.store_sales.ss_hdemo_sk > 1.05 ORDER BY public.store_sales.ss_ext_discount_amt LIMIT 100;
2025-07-01T00:10:04.000000,SELECT public.store_sales.ss_ext_discount_amt FROM public.store_sales  WHERE public.store_sales.ss_promo_sk < 74.49 AND public.store_sales.ss_sold_date_sk > 59.48 AND public.store_sales.ss_hdemo_sk > 65.69 ORDER BY public.store_sales.ss_ext_discount_amt LIMIT 100;
2025-07-01T00:10:04.200000,SELECT public.store_sales.ss_list_price FROM public.store_sales  WHERE public.store_sales.ss_ext_list_price > 98.62 ORDER BY public.store_sales.ss_list_price LIMIT 100;
2025-07-01T00:10:04.400000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 47.46 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:04.600000,SELECT public.catalog_sales.cs_order_number FROM public.catalog_sales INNER JOIN public.store_sales ON public.catalog_sales.cs_promo_sk = public.store_sales.ss_promo_sk WHERE public.catalog_sales.cs_warehouse_sk <= 4.05 ORDER BY public.catalog_sales.cs_order_number LIMIT 100;
2025-07-01T00:10:04.800000,SELECT public.store_sales.ss_list_price FROM public.store_sales  WHERE public.store_sales.ss_ext_list_price > 35.19 ORDER BY public.store_sales.ss_list_price LIMIT 100;
2025-07-01T00:10:05.000000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 59.06 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:05.200000,SELECT public.store_sales.ss_ext_discount_amt FROM public.store_sales  WHERE public.store_sales.ss_promo_sk < 76.7 AND public.store_sales.ss_sold_date_sk > 76.5 AND public.store_sales.ss_hdemo_sk > 48.58 ORDER BY public.store_sales.ss_ext_discount_amt LIMIT 100;
2025-07-01T00:10:05.400000,SELECT public.store_sales.ss_list_price FROM public.store_sales  WHERE public.store_sales.ss_ext_list_price > 93.03 ORDER BY public.store_sales.ss_list_price LIMIT 100;
2025-07-01T00:10:05.600000,SELECT public.store_sales.ss_ext_discount_amt FROM public.store_sales  WHERE public.store_sales.ss_promo_sk < 51.76 AND public.store_sales.ss_sold_date_sk > 43.86 AND public.store_sales.ss_hdemo_sk > 4.55 ORDER BY public.store_sales.ss_ext_discount_amt LIMIT 100;
2025-07-01T00:10:05.800000,SELECT public.catalog_sales.cs_order_number FROM public.catalog_sales INNER JOIN public.store_sales ON public.catalog_sales.cs_promo_sk = public.store_sales.ss_promo_sk WHERE public.catalog_sales.cs_warehouse_sk <= 35.34 ORDER BY public.catalog_sales.cs_order_number LIMIT 100;
2025-07-01T00:10:06.000000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 33.42 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:06.200000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 94.66 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:06.400000,SELECT public.store_sales.ss_sold_date_sk FROM public.store_sales  WHERE public.store_sales.ss_addr_sk <= 32.13 ORDER BY public.store_sales.ss_sold_date_sk LIMIT 100;
2025-07-01T00:10:06.600000,SELECT public.catalog_sales.cs_order_number FROM public.catalog_sales INNER JOIN public.store_sales ON public.catalog_sales.cs_promo_sk = public.store_sales.ss_promo_sk WHERE public.catalog_sales.cs_warehouse_sk <= 84.51 ORDER BY public.catalog_sales.cs_order_number LIMIT 100;
